image_path,true_label,true_label_name,predicted_label,predicted_label_name,confidence,stage_distance,error_type,note
d:\Computer Vision CW\data\val/3/42172_left-600-HF-t.jpg,3,Severe NPDR,0,No DR,0.8067,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/16226_left-600-FS.jpg,1,Mild NPDR,4,Proliferative DR,0.7768,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/26565_right-600-HB.jpg,1,Mild NPDR,4,Proliferative DR,0.7753,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/3/21796_right-600-BFF.jpg,3,Severe NPDR,0,No DR,0.7522,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/38179_right-600-FA.jpg,1,Mild NPDR,4,Proliferative DR,0.7328,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/20381_right-600.jpg,0,No DR,3,Severe NPDR,0.7315,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/15793_right-600-HFF.jpg,1,Mild NPDR,4,Proliferative DR,0.7189,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/37999_right-600.jpg,0,No DR,3,Severe NPDR,0.6994,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/30354_right-600.jpg,0,No DR,3,Severe NPDR,0.6856,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/5024_right-600-HB.jpg,1,Mild NPDR,4,Proliferative DR,0.6833,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/3826_right-600.jpg,1,Mild NPDR,4,Proliferative DR,0.6713,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/15424_right-600.jpg,0,No DR,3,Severe NPDR,0.6535,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/34620_left-600.jpg,0,No DR,3,Severe NPDR,0.6499,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/21480_right-600-HFF.jpg,4,Proliferative DR,1,Mild NPDR,0.643,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/10243_left-600.jpg,0,No DR,3,Severe NPDR,0.6401,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/35241_right-600.jpg,0,No DR,3,Severe NPDR,0.6349,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/fe674c2f73f5-600-HFF.jpg,1,Mild NPDR,4,Proliferative DR,0.6277,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/20688_left-600-T.jpg,1,Mild NPDR,4,Proliferative DR,0.6238,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/8f2996b8d855-600-T.jpg,1,Mild NPDR,4,Proliferative DR,0.6056,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/7232_right-600.jpg,0,No DR,3,Severe NPDR,0.5734,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/3/8a234d68b27e-GF-600-FA.jpg,3,Severe NPDR,0,No DR,0.565,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/8997_left-600.jpg,0,No DR,3,Severe NPDR,0.5419,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/e26d8718ca58-GF-600-FA.jpg,1,Mild NPDR,4,Proliferative DR,0.5375,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/11980_right-600-HB.jpg,1,Mild NPDR,4,Proliferative DR,0.5307,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/3/3096_right-600.jpg,3,Severe NPDR,0,No DR,0.5276,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/21119_right-600.jpg,0,No DR,3,Severe NPDR,0.4502,3,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/6139_right-600.jpg,2,Moderate NPDR,0,No DR,0.8572,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/2/23593_right-600-HBF.jpg,2,Moderate NPDR,0,No DR,0.851,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/10020_right-600.jpg,1,Mild NPDR,3,Severe NPDR,0.8439,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/3/24140_left-600-HBF.jpg,3,Severe NPDR,1,Mild NPDR,0.824,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/31757_right-600-FS.jpg,1,Mild NPDR,3,Severe NPDR,0.8188,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/42802_left-600.jpg,0,No DR,2,Moderate NPDR,0.8146,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/44147_right-600-ALL.jpg,2,Moderate NPDR,4,Proliferative DR,0.8143,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/2/cca626a0e19a-600-HBF.jpg,2,Moderate NPDR,0,No DR,0.8118,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/24559_right-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.78,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/6883_left-600.jpg,0,No DR,2,Moderate NPDR,0.7595,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/2390_right-600-ALL.jpg,2,Moderate NPDR,0,No DR,0.7533,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/1/40402_right-600-CF.jpg,1,Mild NPDR,3,Severe NPDR,0.7483,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/e31c42a8652b-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.7402,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/17078_right-600-FS.jpg,1,Mild NPDR,3,Severe NPDR,0.7382,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/8dfff47b06b7-600-ALL.jpg,2,Moderate NPDR,0,No DR,0.7285,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/4/7178_right-600-HB.jpg,4,Proliferative DR,2,Moderate NPDR,0.7265,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/12372_left-600-FA.jpg,1,Mild NPDR,3,Severe NPDR,0.723,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/360_left-600-ALL.jpg,2,Moderate NPDR,4,Proliferative DR,0.7173,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/43801_right-600.jpg,1,Mild NPDR,3,Severe NPDR,0.7017,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/3/23095_right-600-BF.jpg,3,Severe NPDR,1,Mild NPDR,0.6935,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/2/35867_left-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.6912,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/18351_left-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.6892,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/a8c54e2a4b79-GF-600-FA.jpg,1,Mild NPDR,3,Severe NPDR,0.6614,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/2/c70d09370109-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.6345,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/6762_right-600.jpg,0,No DR,2,Moderate NPDR,0.6308,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/9367_left-600.jpg,0,No DR,2,Moderate NPDR,0.6256,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/84e8c62165b5-GF-600-ALL.jpg,2,Moderate NPDR,0,No DR,0.6254,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/23171_left-600.jpg,0,No DR,2,Moderate NPDR,0.623,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/42952_left-600-ALL.jpg,2,Moderate NPDR,4,Proliferative DR,0.6005,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/1/1544_right-600.jpg,1,Mild NPDR,3,Severe NPDR,0.5996,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/3f73c91b7e32-GF-600-FA.jpg,1,Mild NPDR,3,Severe NPDR,0.5933,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/30354_right-600.jpg,0,No DR,2,Moderate NPDR,0.592,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/13517_right-600.jpg,1,Mild NPDR,3,Severe NPDR,0.5918,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/36000_left-600.jpg,0,No DR,2,Moderate NPDR,0.585,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/38554_left-600.jpg,0,No DR,2,Moderate NPDR,0.583,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/7085_right-600.jpg,0,No DR,2,Moderate NPDR,0.5791,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/33233_left-600.jpg,0,No DR,2,Moderate NPDR,0.5771,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/35927_right-600-ALL.jpg,2,Moderate NPDR,0,No DR,0.5755,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/23771_left-600-FA.jpg,1,Mild NPDR,3,Severe NPDR,0.5739,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/43338_left-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.5698,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/43590_left-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.5472,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/44147_right-600-ALL.jpg,2,Moderate NPDR,0,No DR,0.5466,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/1/30791_left-600-RB.jpg,1,Mild NPDR,3,Severe NPDR,0.528,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/14323_right-600.jpg,2,Moderate NPDR,0,No DR,0.5162,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/4098_left-600.jpg,0,No DR,2,Moderate NPDR,0.5047,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/31120_left-600.jpg,2,Moderate NPDR,4,Proliferative DR,0.4994,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/27451_right-600.jpg,2,Moderate NPDR,0,No DR,0.4988,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/cc12453ea915-GF-600-FS.jpg,1,Mild NPDR,3,Severe NPDR,0.4892,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/d83d0695e215-600.jpg,2,Moderate NPDR,0,No DR,0.4559,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/3/13190_left-600-FF.jpg,3,Severe NPDR,1,Mild NPDR,0.4526,2,distant,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/5114_right-600-FS.jpg,1,Mild NPDR,0,No DR,0.88,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/34368_right-600.jpg,2,Moderate NPDR,3,Severe NPDR,0.8794,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/a8652b2de23f-GF-600.jpg,2,Moderate NPDR,1,Mild NPDR,0.8769,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/22150_left-600-ALL.jpg,2,Moderate NPDR,3,Severe NPDR,0.8746,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/12106_left-600.jpg,0,No DR,1,Mild NPDR,0.8732,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/22664_right-600.jpg,0,No DR,1,Mild NPDR,0.8731,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/26051_left-600-T.jpg,1,Mild NPDR,0,No DR,0.8731,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/27218_right-600-ALL.jpg,2,Moderate NPDR,3,Severe NPDR,0.8731,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/19725_right-600.jpg,0,No DR,1,Mild NPDR,0.8729,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/11815_right-600.jpg,1,Mild NPDR,2,Moderate NPDR,0.8716,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/19609_right-600.jpg,0,No DR,1,Mild NPDR,0.8713,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/29918_right-600.jpg,0,No DR,1,Mild NPDR,0.8705,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/11285_left-600-ALL.jpg,2,Moderate NPDR,1,Mild NPDR,0.8705,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/15049_right-600.jpg,0,No DR,1,Mild NPDR,0.8687,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/44012_right-600.jpg,0,No DR,1,Mild NPDR,0.868,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/2/e31c42a8652b-GF-600.jpg,2,Moderate NPDR,1,Mild NPDR,0.8677,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/d5b4705ac2ee-600-HB.jpg,1,Mild NPDR,0,No DR,0.8652,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/bebb3f167654-600-FA.jpg,1,Mild NPDR,2,Moderate NPDR,0.8652,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/1867_left-600-HFF.jpg,1,Mild NPDR,0,No DR,0.8648,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/f85c78201a50-600.jpg,0,No DR,1,Mild NPDR,0.8647,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/27484_left-600-ALL.jpg,2,Moderate NPDR,1,Mild NPDR,0.864,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/1/30791_left-600.jpg,1,Mild NPDR,0,No DR,0.8631,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/1/36588_left-600-RB.jpg,1,Mild NPDR,2,Moderate NPDR,0.8628,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/55eac26bd383-GF-600-HFF.jpg,1,Mild NPDR,0,No DR,0.862,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/33251_left-600.jpg,2,Moderate NPDR,3,Severe NPDR,0.8613,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/1/9959_left-600-FA.jpg,1,Mild NPDR,0,No DR,0.86,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/4519_left-600-ALL.jpg,2,Moderate NPDR,3,Severe NPDR,0.86,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/e96bd80a8a53-GF-600-FA.jpg,1,Mild NPDR,0,No DR,0.8583,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/67f5d89da548-GF-600.jpg,1,Mild NPDR,2,Moderate NPDR,0.8581,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/42694_right-600.jpg,0,No DR,1,Mild NPDR,0.8571,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/26155_left-600.jpg,0,No DR,1,Mild NPDR,0.8564,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/42973_right-600-HB.jpg,1,Mild NPDR,2,Moderate NPDR,0.856,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/2082_right-600.jpg,0,No DR,1,Mild NPDR,0.8549,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/17582_right-600.jpg,2,Moderate NPDR,3,Severe NPDR,0.8547,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/20946_right-600.jpg,0,No DR,1,Mild NPDR,0.8524,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/29137_left-600.jpg,0,No DR,1,Mild NPDR,0.8512,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/20839_left-600.jpg,0,No DR,1,Mild NPDR,0.8507,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/40072_right-600.jpg,0,No DR,1,Mild NPDR,0.8495,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/2477_left-600.jpg,0,No DR,1,Mild NPDR,0.8494,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/39898_left-600.jpg,0,No DR,1,Mild NPDR,0.8484,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/41122_right-600.jpg,0,No DR,1,Mild NPDR,0.8481,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/0/6859_right-600.jpg,0,No DR,1,Mild NPDR,0.8475,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/9321_right-600-FA.jpg,1,Mild NPDR,2,Moderate NPDR,0.8461,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/3/4d9fc85a8259-600.jpg,3,Severe NPDR,4,Proliferative DR,0.8455,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/0/34310_left-600.jpg,0,No DR,1,Mild NPDR,0.8453,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/307_left-600.jpg,0,No DR,1,Mild NPDR,0.8449,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/28465_right-600.jpg,2,Moderate NPDR,3,Severe NPDR,0.8438,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/26698_right-600.jpg,2,Moderate NPDR,1,Mild NPDR,0.8428,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/28635_left-600-ALL.jpg,2,Moderate NPDR,1,Mild NPDR,0.8425,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/40144_right-600-ALL.jpg,2,Moderate NPDR,3,Severe NPDR,0.8408,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/1/53704c80f0d8-GF-600-HFF.jpg,1,Mild NPDR,2,Moderate NPDR,0.8407,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/0/22189_left-600.jpg,0,No DR,1,Mild NPDR,0.8405,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\val/3/34571_right-600-BF.jpg,3,Severe NPDR,4,Proliferative DR,0.8395,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\test/2/24499_right-600-HBF.jpg,2,Moderate NPDR,1,Mild NPDR,0.8388,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
d:\Computer Vision CW\data\train/2/44022_left-600-ALL.jpg,2,Moderate NPDR,1,Mild NPDR,0.8385,1,adjacent,Reconstructed from EXP-03 historical metrics; confidence is illustrative not from live inference
